rmsd,Rg,S1,S2,L1,L2,T,NC,nonNC
0.4454135728413475,0.10127980848908943,0.0,0.0,0.0,0.102,0.004,0.015,0.604
0.40076521513569596,0.21324003314611917,0.35,0.0,0.0,0.013999999999999999,0.02,0.146,0.29100000000000004
0.5614928180020103,0.2549028634564037,0.8170000000000001,0.0,0.0,0.0,0.0,0.318,0.057
0.48257190104082226,0.20200718165914744,0.08900000000000001,0.0,0.0,0.0,0.0,0.034,0.306
0.43802081644564056,0.11048706380627935,0.0,0.0,0.0,0.0,0.002,0.001,0.581
0.43419474076716064,0.19717337261762277,0.0,0.0,0.0,0.0,0.0,0.0,0.382
0.6698550630653999,0.48411748457784715,0.18899999999999997,0.0,0.0,0.0,0.0,0.07400000000000001,0.33799999999999997
0.4974871113128627,0.159423625817144,0.0,0.0,0.0,0.0,0.0,0.0,0.466
0.23264485587367464,0.06357609796519666,0.698,0.0,0.0,0.46299999999999997,0.446,0.518,0.303
0.2533316040335916,0.06573980296473632,0.688,0.0,0.0,0.3,0.348,0.452,0.193
0.23912972990499656,0.06389835190129829,0.838,0.154,0.0,0.040999999999999995,0.341,0.499,0.067
0.15755001459096657,0.058005708498296636,1.006,0.287,0.0,0.191,0.516,0.68,0.037000000000000005
0.4478778249732499,0.1668354663474818,0.026000000000000002,0.0,0.0,0.0,0.05,0.031,0.513
0.2856911254498881,0.12006260933615698,0.21,0.484,0.122,0.0,0.0,0.165,0.08800000000000001
0.7520508414124055,0.6738790166651321,0.184,0.0,0.0,0.0,0.0,0.07200000000000001,0.287
0.6529295418436497,0.5111407789337998,0.0,0.0,0.0,0.0,0.006999999999999999,0.003,0.32899999999999996
0.674751142959048,0.5463124942454655,0.147,0.0,0.0,0.0,0.0,0.057,0.528
0.42495379527252686,0.10164809870177707,0.0,0.0,0.0,0.0,0.004,0.002,0.608
0.4299471482766447,0.1216278427400792,0.03,0.0,0.0,0.095,0.006999999999999999,0.027000000000000003,0.397
0.6568204662624428,0.5164809870177699,0.0,0.0,0.0,0.0,0.0,0.0,0.295
